city,lng_min,lng_max
Aachen,6.08,6.2
Aadorf,8.89,8.97
Aalborg,9.91,10.02
Aalen,10.09,10.25
Aalsmeer,4.76,4.88
Aalst,4.03,4.19
Aalten,6.58,6.75
Äänekoski,25.72,25.79
Aarau,8.04,8.23
Aarburg,7.9,7.98
Aarhus,10.21,10.23
Aasiaat,-52.86,-52.79
Aba,7.36,7.51
Abadan,58.21,58.29
Abadia dos Dourados,-47.4,-47.25
Abadiânia,-48.7,-48.6
Abadiano Celayeta,-2.6,-2.47
Abadla,-2.73,-2.59
Abadou,-7.31,-7.2
Abaeté,-45.45,-45.39
Abaetetuba,-48.88,-48.68
Abaí,-55.94,-55.93
Abaiara,-39.04,-39.02
Abaíra,-41.66,-41.47
Abakaliki,8.11,8.24
Abakan,91.41,91.6
Abalessa,4.84,4.9
Abancay,-72.88,-72.74
Abanilla,-1.04,-0.9
Abano Terme,11.79,11.79
Abarán,-1.4,-1.29
Abaré,-39.11,-39.04
Abashiri,144.27,144.3
Abasolo,-101.52,-101.49
Abatiá,-50.31,-50.24
Abatskoye,70.45,70.46
Abaza,90.08,90.17
Abbadia San Salvatore,11.67,11.82
Abbeville,1.83,2.01
Abbiategrasso,8.91,8.91
Abbotsford,-122.31,-122.25
Abbots Langley,-0.41,-0.27
Abbottabad,73.21,73.22
Abcoude,4.97,4.99
Abdul Hakim,72.12,72.29
Abdulino,53.65,53.78
Abdurahmoni Jomí,68.68,68.77
Abéché,20.83,20.87
Abegondo,-8.31,-8.29
Abelardo Luz,-52.32,-52.2
Abel Figueiredo,-48.39,-48.3
Abenberg,10.96,10.99
Abengourou,-3.49,-3.36
Abensberg,11.85,12.02
Abeokuta,3.35,3.36
Aberaman,-3.43,-3.42
Aberbargoed,-3.22,-3.11
Abercarn,-3.13,-2.97
Abercynon,-3.32,-3.3
Aberdare,-3.44,-3.42
Aberdeen,-2.11,-1.91
Abergavenny,-3.01,-2.98
Abergele,-3.58,-3.55
Abersychan,-3.05,-3.03
Abertawe,-3.95,-3.76
Abertillery,-3.13,-3.04
Aberystwyth,-4.08,-4.03
Abhā,42.5,42.61
Abidjan,-4.02,-3.82
Abiko,140.02,140.1
Abilene,-99.73,-99.63
Abim,33.67,33.75
Abingdon,-1.28,-1.09
Abington,-75.11,-74.99
Abinsk,38.16,38.31
Abira,141.81,141.84
Abjīj,30.81,30.81
Ablon-sur-Seine,2.42,2.5
Abnūb,31.15,31.16
Abohar,74.29,74.41
Aboisso,-3.2,-3.14
Abomey,1.99,1.99
Abong Mbang,13.16,13.33
Abony,20.0,20.13
Aborlan,118.54,118.62
Abovyan,44.62,44.7
Abra de Ilog,120.72,120.77
Abram,-2.58,-2.38
Abra Pampa,-65.7,-65.66
Abre Campo,-42.47,-42.44
Abrera,1.9,1.95
Abreus,-80.56,-80.43
Abrīsham,51.57,51.66
Abrud,23.05,23.11
Absam,11.5,11.53
Absecon,-74.49,-74.39
Abtenau,13.35,13.42
Abtsgmünd,10.0,10.19
Abu,72.7,72.86
Abucay,120.53,120.53
Abu Dhabi,54.36,54.41
Abū Ḩamad,33.32,33.39
Abū Ḩulayfah,48.0,48.13
Abuja,7.49,7.58
Abulug,121.45,121.54
Abunã,-65.35,-65.3
Abū Qīr,30.06,30.13
Abuyog,125.01,125.1
Abūzeydābād,51.76,51.86
Acacías,-73.76,-73.56
Açailandia,-47.5,-47.47
Acajutiba,-38.01,-37.82
Acajutla,-89.82,-89.66
Acala,-92.8,-92.61
Acalá del Río,-5.96,-5.82
Acámbaro,-100.73,-100.56
Acambay,-99.84,-99.83
Acanceh,-89.45,-89.37
Acapulco de Juárez,-99.88,-99.69
Acará,-48.19,-48.04
Acarape,-38.7,-38.68
Acaraú,-40.11,-40.05
Acari,-36.63,-36.5
Acarigua,-69.2,-69.02
Acate,14.49,14.66
Acatic,-102.91,-102.8
Acatlán,-103.6,-103.43
Acatlán de Osorio,-98.05,-97.88
Acatzingo,-97.78,-97.64
Acaxochitlán,-98.2,-98.08
Acayucan,-94.91,-94.71
Aç-çahrij,-7.14,-7.05
Accokeek,-77.0,-76.87
Accra,-0.18,-0.03
Accrington,-2.36,-2.26
Acerra,14.36,14.51
Aceuchal,-6.48,-6.42
Acevedo,-75.88,-75.82
Achacachi,-68.68,-68.64
Achères,2.06,2.16
Achern,8.07,8.22
Achí,-74.55,-74.36
Achicourt,2.75,2.85
Achikulak,44.83,44.9
Achim,9.03,9.14
Achinsk,90.5,90.55
Achkhoy-Martan,45.28,45.31
Aci Castello,15.15,15.26
Aci Catena,15.15,15.18
Acigné,-1.53,-1.4
Acireale,15.16,15.22
Aci Sant’Antonio,15.12,15.29
Acomb,-1.12,-1.07
Aconibe,10.93,10.96
Acopiara,-39.45,-39.25
Acorizal,-56.36,-56.31
A Coruña,-8.41,-8.34
Acquapendente,11.86,11.88
Acquaviva,12.41,12.51
Acquaviva delle Fonti,16.85,16.85
Acque Dolci,14.58,14.66
